id,mnem,desc,type,ops,lhs,op,rhs,flags
1,add,Add without carry,math,"Rd, Rr",Rd,set,Rd + Rr,"Z, C, N, V, S, H"
2,adc,Add with carry,math,"Rd, Rr",Rd,set,Rd + Rr + C,"Z, C, N, V, S, H"
3,adiw,Add immediate to word,math,"Rd, K",Rd,set,Rd+1:Rd + K,"Z, C, N, V, S"
4,sub,Subtract without carry,math,"Rd, Rr",Rd,set,Rd - Rr,"Z, C, N, V, S, H"
5,subi,Subtract immediate,math,"Rd, K",Rd,set,Rd - K,"Z, C, N, V, S, H"
6,sbc,Subtract with carry,math,"Rd, Rr",Rd,set,Rd - Rr - C,"Z, C, N, V, S, H"
7,sbci,Subtract immediate with carry,math,"Rd, K",Rd,set,Rd - K - C,"Z, C, N, V, S, H"
8,sbiw,Subtract immediate from word,math,"Rd, K",Rd+1:Rd,set,Rd+1:Rd - K,"Z, C, N, V, S"
9,and,Logical AND,logic,"Rd, Rr",Rd,set,Rd & Rr,"Z, N, V, S"
10,andi,Logical AND with immediate,logic,"Rd, K",Rd,set,Rd & K,"Z, N, V, S"
11,or,Logical OR,logic,"Rd, Rr",Rd,set,Rd | Rr,"Z, N, V, S"
12,ori,Logical OR with immediate,logic,"Rd, K",Rd,set,Rd | K,"Z, N, V, S"
13,eor,Exclusive OR,logic,"Rd, Rr",Rd,set,Rd ^ Rr,"Z, N, V, S"
14,com,One’s complement,logic,Rd,Rd,set,$FF - Rd,"Z, C, N, V, S"
15,neg,Two’s complement,logic,Rd,Rd,set,$00 - Rd,"Z, C, N, V, S, H"
16,sbr,Set bit(s) in register,logic,"Rd, K",Rd,set,Rd | K,"Z, N, V, S"
17,cbr,Clear bit(s) in register,logic,"Rd, K",Rd,set,Rd & ($FF - K),"Z, N, V, S"
18,inc,Increment,math,Rd,Rd,set,Rd + 1,"Z, N, V, S"
19,dec,Decrement,math,Rd,Rd,set,Rd - 1,"Z, N, V, S"
20,tst,Test for zero or minus,logic,Rd,Rd,set,Rd && Rd,"Z, N, V, S"
21,clr,Clear register,logic,Rd,Rd,set,Rd ^ Rd,"Z, N, V, S"
22,ser,Set register,logic,Rd,Rd,set,$FF,
